year,strategy_item,value,unit,source_id,notes
2025,fort_hills_three_year_mine_plan_completed,1,indicator,S2,"Completion of the three-year mine plan enabled Fort Hills to achieve 90% of nameplate capacity."
2025,fort_hills_utilization_achieved,90,percent of nameplate capacity,S2,"Fort Hills achieved 90% of nameplate capacity in 2025."
2026,autonomous_haulage_system_expected_fort_hills,1,indicator,S2,"Suncor expects Autonomous Haulage Systems to be deployed at Fort Hills in 2026."
2026,fort_hills_incremental_capacity_work,1,indicator,S2,"Suncor will continue working toward increasing Fort Hills plant capacity."
2026,reliability_and_turnaround_interval_initiatives,1,indicator,S2,"Suncor states improved maintenance and turnaround practices are expected to lower costs, raise utilization, and increase production between turnarounds."
2025,fort_hills_asset_sustainment_and_maintenance_capex,296,CAD millions,S2,"Fort Hills asset sustainment and maintenance capital expenditures in 2025."
2025,fort_hills_economic_investment_capex,456,CAD millions,S2,"Fort Hills economic investment capital expenditures in 2025."
2025,fort_hills_total_capex,752,CAD millions,S2,"Fort Hills total capital expenditures in 2025, excluding capitalized interest."
2024,fort_hills_total_capex,760,CAD millions,S2,"Fort Hills total capital expenditures in 2024, excluding capitalized interest."
2025,fort_hills_north_pit_second_opening,1,indicator,S2,"Capital activity in 2025 included mine equipment purchases and commencing the second opening at the Fort Hills North Pit mine."
2026,fort_hills_north_pit_second_opening_advancing,1,indicator,S2,"Planned 2026 economic investment includes mine equipment purchases and advancing the second opening at the Fort Hills North Pit mine."
2026,suncor_total_planned_capital_spending_low,5600,CAD millions,S2,"Forward-looking statements indicate planned 2026 capital spending of $5.6 billion to $5.8 billion."
2026,suncor_total_planned_capital_spending_high,5800,CAD millions,S2,"Forward-looking statements indicate planned 2026 capital spending of $5.6 billion to $5.8 billion."
2025,oil_sands_capital_expenditures,3869,CAD millions,S2,"Segmented information reports Oil Sands capital expenditures in 2025."
2024,oil_sands_capital_expenditures,4340,CAD millions,S2,"Segmented information reports Oil Sands capital expenditures in 2024."
2025,total_company_capital_expenditures,5856,CAD millions,S2,"Segmented information reports total company capital expenditures in 2025."
2024,total_company_capital_expenditures,6483,CAD millions,S2,"Segmented information reports total company capital expenditures in 2024."
2026,fort_hills_planned_maintenance_q2,1,indicator,S2,"Planned maintenance at Fort Hills is scheduled in the second quarter."
2026,fort_hills_forward_plant_capacity_work,1,indicator,S2,"Forward-looking statements say Suncor expects to continue working toward increasing plant capacity at Fort Hills."
2026,fort_hills_ahs_to_follow,1,indicator,S2,"Forward-looking statements say AHS implementation at Syncrude Mildred Lake is expected in 2026, with Fort Hills to follow."
